timestamp,pid,process_name,cpu_percent,memory_percent,risk_score,severity,message
2026-09-14 23:15:32,2852,Code Helper,0.0,1.0463714599609375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:15:34,10040,python3.12,0.3,0.8295059204101562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:15:34,10062,mdworker_shared,0.8,0.23746490478515625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:28,568,AXVisualSupportAgent,1.2,0.15888214111328125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:29,730,Spotify,0.3,0.88653564453125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:29,916,com.apple.WebKit.WebContent,0.7,0.710296630859375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:29,957,Google Chrome,0.0,1.9933700561523438,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,2641,Google Chrome Helper (Renderer),0.0,0.626373291015625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,2672,Google Chrome Helper (Renderer),0.0,3.9226531982421875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,2826,Code,0.0,1.5268325805664062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,2835,Code Helper (Renderer),0.3,5.039024353027344,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,3033,Code Helper,1.4,0.39234161376953125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,3034,Code Helper (Plugin),8.8,3.6401748657226562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,4194,Code Helper (Plugin),0.0,1.41754150390625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,8323,Google Chrome Helper (Renderer),0.0,0.664520263671875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,8324,Google Chrome Helper (Renderer),0.0,0.24929046630859375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,8325,Google Chrome Helper (Renderer),0.0,0.35533905029296875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,8328,Google Chrome Helper (Renderer),0.0,0.473785400390625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:30,8666,Google Chrome Helper (Renderer),0.0,0.31986236572265625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:32,10481,Google Chrome Helper (Renderer),0.0,0.9502410888671875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:33,10622,python3.12,0.2,1.7827987670898438,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:38,568,AXVisualSupportAgent,5.8,0.16574859619140625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:38,602,fileproviderd,2.7,0.139617919921875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,730,Spotify,0.0,0.9897232055664062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,755,Grammarly Desktop,1.6,0.672149658203125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,913,app_inkwell,19.3,0.28133392333984375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,957,Google Chrome,21.4,2.1953582763671875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,963,Google Chrome Helper,1.6,1.0232925415039062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,2641,Google Chrome Helper (Renderer),0.0,0.5949020385742188,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,2672,Google Chrome Helper (Renderer),0.9,3.2745361328125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,2826,Code,0.0,1.4032363891601562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:39,2835,Code Helper (Renderer),0.0,3.9358139038085938,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,3033,Code Helper,2.1,0.39806365966796875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,3034,Code Helper (Plugin),0.0,3.5211563110351562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,4194,Code Helper (Plugin),0.0,1.410675048828125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,8323,Google Chrome Helper (Renderer),0.0,0.7207870483398438,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,8324,Google Chrome Helper (Renderer),0.0,0.2750396728515625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,8325,Google Chrome Helper (Renderer),0.0,0.3719329833984375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,8328,Google Chrome Helper (Renderer),0.0,0.5304336547851562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:40,8666,Google Chrome Helper (Renderer),0.0,0.30002593994140625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:42,10481,Google Chrome Helper (Renderer),0.0,0.9500503540039062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:21:42,10622,python3.12,0.3,0.8184432983398438,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:34,568,AXVisualSupportAgent,5.0,0.156402587890625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:35,748,Spotify Helper,7.3,0.2933502197265625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:35,916,com.apple.WebKit.WebContent,0.0,1.694488525390625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:35,957,Google Chrome,0.0,1.9115447998046875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:36,2672,Google Chrome Helper (Renderer),2.7,2.4263381958007812,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:36,2826,Code,0.0,1.4982223510742188,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:36,2835,Code Helper (Renderer),0.0,3.4664154052734375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:36,3034,Code Helper (Plugin),0.0,3.8980484008789062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:36,4194,Code Helper (Plugin),0.0,1.4947891235351562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:39,11133,python3.12,0.8,1.6443252563476562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:44,602,fileproviderd,0.7,0.13675689697265625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:45,755,Grammarly Desktop,1.2,0.684356689453125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:45,768,Spotify Helper (Renderer),0.0,1.3339996337890625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:45,932,com.apple.WebKit.WebContent,0.0,1.4085769653320312,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:45,957,Google Chrome,0.0,2.0908355712890625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:46,2672,Google Chrome Helper (Renderer),17.9,2.9842376708984375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:46,2826,Code,0.0,1.2384414672851562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:46,2833,Code Helper,0.3,0.81024169921875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:46,2835,Code Helper (Renderer),0.0,3.7322998046875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:46,3034,Code Helper (Plugin),0.0,2.0305633544921875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:48,11133,python3.12,0.2,0.82550048828125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,722,duetexpertd,0.6,0.27446746826171875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,755,Grammarly Desktop,1.4,0.6460189819335938,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,916,com.apple.WebKit.WebContent,122.7,0.7455825805664062,90,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,919,com.apple.WebKit.Networking,68.8,0.21038055419921875,90,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,931,com.apple.WebKit.WebContent,0.4,0.35991668701171875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,932,com.apple.WebKit.WebContent,0.0,1.3566970825195312,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,957,Google Chrome,11.1,2.2050857543945312,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,963,Google Chrome Helper,82.4,1.0562896728515625,90,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,2672,Google Chrome Helper (Renderer),19.3,5.501747131347656,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,2826,Code,0.0,1.3948440551757812,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:55,2835,Code Helper (Renderer),0.0,3.8816452026367188,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:56,2852,Code Helper,0.0,1.2094497680664062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:56,2913,Code Helper,0.8,0.5197525024414062,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:56,3033,Code Helper,0.4,0.40760040283203125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:56,3034,Code Helper (Plugin),0.0,1.2525558471679688,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:58,9967,photoanalysisd,3.1,0.07171630859375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:28:58,11133,python3.12,0.2,0.8504867553710938,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,722,duetexpertd,0.7,0.28076171875,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,755,Grammarly Desktop,2.3,0.6402969360351562,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,916,com.apple.WebKit.WebContent,0.7,0.7110595703125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,957,Google Chrome,1.4,2.2077560424804688,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,2672,Google Chrome Helper (Renderer),0.0,5.3363800048828125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,2826,Code,1.9,1.4707565307617188,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,2833,Code Helper,4.1,0.7839202880859375,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,2835,Code Helper (Renderer),2.9,3.269195556640625,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,2852,Code Helper,0.0,1.28173828125,80,HIGH,Suspicious process behavior detected.
2026-09-14 23:29:05,3033,Code Helper,0.5,0.39348602294921875,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,544,cfprefsd,0.7,0.04291534423828125,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,549,UserEventAgent,0.5,0.11882781982421875,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,560,ControlCenter,0.5,0.36163330078125,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,564,Finder,0.4,0.3414154052734375,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,642,neagent,0.7,0.11234283447265625,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,730,Spotify,0.4,0.7753372192382812,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,755,Grammarly Desktop,0.2,0.65155029296875,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,768,Spotify Helper (Renderer),0.1,1.4125823974609375,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,957,Google Chrome,0.5,2.1009445190429688,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,963,Google Chrome Helper,0.2,0.737762451171875,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,964,Google Chrome Helper,0.1,0.6122589111328125,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,2672,Google Chrome Helper (Renderer),0.2,3.372955322265625,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,2826,Code,0.1,1.2247085571289062,80,HIGH,Suspicious process behavior detected.
2026-09-15 11:10:15,2833,Code Helper,1.7,0.7678985595703125,80,HIGH,Suspicious process behavior detected.
