timestamp,active_sessions,new_sessions,ended_sessions
2026-09-15 16:19:56,1,1,0
2026-09-15 16:20:01,1,0,0
2026-09-15 16:20:06,1,0,0
2026-09-15 16:20:11,1,0,0
2026-09-15 16:21:43,1,1,0
2026-09-15 16:21:48,1,0,0
2026-09-15 16:21:53,1,0,0
2026-09-15 16:21:58,1,0,0
2026-09-15 16:22:03,1,0,0
2026-09-15 16:22:08,1,0,0
2026-09-15 16:22:13,1,0,0
2026-09-15 16:22:18,1,0,0
2026-09-15 16:22:23,1,0,0
2026-09-15 16:22:28,1,0,0
2026-09-15 16:22:33,1,0,0
2026-09-15 16:22:38,1,0,0
2026-09-15 16:22:43,1,0,0
2026-09-15 16:22:48,1,0,0
2026-09-15 16:22:53,1,0,0
2026-09-15 16:22:58,1,0,0
2026-09-15 16:23:03,1,0,0
2026-09-15 16:23:08,1,0,0
2026-09-15 16:23:13,1,0,0
2026-09-15 16:23:18,1,0,0
2026-09-15 16:23:23,1,0,0
2026-09-15 16:23:28,1,0,0
2026-09-15 16:23:33,1,0,0
2026-09-15 16:23:38,1,0,0
2026-09-15 16:23:43,1,0,0
2026-09-15 16:23:48,1,0,0
2026-09-15 16:23:53,1,0,0
2026-09-15 16:23:58,1,0,0
2026-09-15 16:24:03,1,0,0
2026-09-15 16:24:08,1,0,0
2026-09-15 16:24:13,1,0,0
2026-09-15 16:24:18,1,0,0
2026-09-15 16:24:23,1,0,0
2026-09-15 16:24:28,1,0,0
2026-09-15 16:24:33,1,0,0
2026-09-15 16:24:38,1,0,0
2026-09-15 16:24:43,1,0,0
2026-09-15 16:24:48,1,0,0
2026-09-15 16:24:53,1,0,0
2026-09-15 16:24:58,1,0,0
2026-09-15 16:25:03,1,0,0
2026-09-15 16:25:08,1,0,0
2026-09-15 16:25:13,1,0,0
2026-09-15 16:25:18,1,0,0
2026-09-15 16:25:23,1,0,0
2026-09-15 16:25:28,1,0,0
2026-09-15 16:25:33,1,0,0
2026-09-15 16:25:38,1,0,0
2026-09-15 16:25:43,1,0,0
2026-09-15 16:25:48,1,0,0
2026-09-15 16:25:53,1,0,0
2026-09-15 16:25:58,1,0,0
2026-09-15 16:26:03,1,0,0
2026-09-15 16:26:08,1,0,0
2026-09-15 16:26:13,1,0,0
2026-09-15 16:26:18,1,0,0
2026-09-15 16:26:23,1,0,0
2026-09-15 16:26:28,1,0,0
2026-09-15 16:26:33,1,0,0
2026-09-15 16:26:38,1,0,0
2026-09-15 16:26:43,1,0,0
2026-09-15 16:26:48,1,0,0
2026-09-15 16:26:53,1,0,0
2026-09-15 16:26:58,1,0,0
2026-09-15 16:27:03,1,0,0
2026-09-15 16:27:08,1,0,0
2026-09-15 16:27:13,1,0,0
2026-09-15 16:27:18,1,0,0
2026-09-15 16:27:23,1,0,0
2026-09-15 16:27:28,1,0,0
2026-09-15 16:27:33,1,0,0
2026-09-15 16:27:38,1,0,0
2026-09-15 16:27:43,1,0,0
2026-09-15 16:27:48,1,0,0
2026-09-15 16:27:53,1,0,0
2026-09-15 16:27:58,1,0,0
2026-09-15 16:28:03,1,0,0
2026-09-15 16:28:08,1,0,0
2026-09-15 16:28:13,1,0,0
2026-09-15 16:28:18,1,0,0
2026-09-15 16:28:23,1,0,0
2026-09-15 16:28:28,1,0,0
2026-09-15 16:28:33,1,0,0
2026-09-15 16:28:38,1,0,0
2026-09-15 16:28:43,1,0,0
2026-09-15 16:28:48,1,0,0
2026-09-15 16:28:53,1,0,0
2026-09-15 16:28:58,1,0,0
2026-09-15 16:29:03,1,0,0
2026-09-15 16:29:08,1,0,0
2026-09-15 16:29:13,1,0,0
2026-09-15 16:29:18,1,0,0
2026-09-15 16:29:23,1,0,0
2026-09-15 16:29:28,1,0,0
2026-09-15 16:29:33,1,0,0
2026-09-15 16:29:38,1,0,0
2026-09-15 16:29:43,1,0,0
2026-09-15 16:29:48,1,0,0
2026-09-15 16:29:53,1,0,0
2026-09-15 16:29:58,1,0,0
2026-09-15 16:30:03,1,0,0
2026-09-15 16:30:08,1,0,0
2026-09-15 16:30:13,1,0,0
2026-09-15 16:30:18,1,0,0
2026-09-15 16:30:23,1,0,0
2026-09-15 16:30:28,1,0,0
2026-09-15 16:30:33,1,0,0
2026-09-15 16:30:38,1,0,0
2026-09-15 16:30:43,1,0,0
2026-09-15 16:30:48,1,0,0
2026-09-15 16:30:53,1,0,0
2026-09-15 16:30:58,1,0,0
2026-09-15 16:31:03,1,0,0
2026-09-15 16:31:08,1,0,0
2026-09-15 16:31:13,1,0,0
2026-09-15 16:31:18,1,0,0
2026-09-15 16:31:23,1,0,0
2026-09-15 16:31:28,1,0,0
2026-09-15 16:31:33,1,0,0
2026-09-15 16:31:38,1,0,0
2026-09-15 16:31:43,1,0,0
2026-09-15 16:31:48,1,0,0
2026-09-15 16:31:53,1,0,0
2026-09-15 16:31:59,1,0,0
2026-09-15 16:32:04,1,0,0
2026-09-15 16:32:09,1,0,0
2026-09-15 16:32:14,1,0,0
2026-09-15 16:32:19,1,0,0
2026-09-15 16:32:24,1,0,0
2026-09-15 16:32:29,1,0,0
2026-09-15 16:32:34,1,0,0
2026-09-15 16:32:39,1,0,0
2026-09-15 16:32:44,1,0,0
2026-09-15 16:32:49,1,0,0
2026-09-15 16:32:54,1,0,0
2026-09-15 16:32:59,1,0,0
2026-09-15 16:33:04,1,0,0
2026-09-15 16:33:09,1,0,0
2026-09-15 16:33:14,1,0,0
2026-09-15 16:33:19,1,0,0
2026-09-15 16:33:24,1,0,0
2026-09-15 16:33:29,1,0,0
2026-09-15 16:33:34,1,0,0
2026-09-15 16:33:39,1,0,0
2026-09-15 16:33:44,1,0,0
2026-09-15 16:33:49,1,0,0
2026-09-15 16:33:54,1,0,0
2026-09-15 16:33:59,1,0,0
2026-09-15 16:34:04,1,0,0
2026-09-15 16:34:09,1,0,0
2026-09-15 16:34:14,1,0,0
2026-09-15 16:34:19,1,0,0
2026-09-15 16:34:24,1,0,0
2026-09-15 16:34:29,1,0,0
2026-09-15 16:34:34,1,0,0
2026-09-15 16:34:39,1,0,0
2026-09-15 16:34:44,1,0,0
2026-09-15 16:34:49,1,0,0
2026-09-15 16:34:54,1,0,0
2026-09-15 16:34:59,1,0,0
2026-09-15 16:35:04,1,0,0
2026-09-15 16:35:09,1,0,0
2026-09-15 16:35:14,1,0,0
2026-09-15 16:35:19,1,0,0
2026-09-15 16:35:24,1,0,0
2026-09-15 16:35:29,1,0,0
2026-09-15 16:35:34,1,0,0
2026-09-15 16:35:39,1,0,0
2026-09-15 16:35:44,1,0,0
2026-09-15 16:35:49,1,0,0
2026-09-15 16:35:54,1,0,0
2026-09-15 16:35:59,1,0,0
2026-09-15 16:36:04,1,0,0
2026-09-15 16:36:09,1,0,0
2026-09-15 16:36:14,1,0,0
2026-09-15 16:36:19,1,0,0
2026-09-15 16:36:24,1,0,0
2026-09-15 16:36:29,1,0,0
2026-09-15 16:36:34,1,0,0
2026-09-15 16:36:39,1,0,0
2026-09-15 16:36:44,1,0,0
2026-09-15 16:36:49,1,0,0
2026-09-15 16:36:54,1,0,0
2026-09-15 16:36:59,1,0,0
2026-09-15 16:37:04,1,0,0
2026-09-15 16:37:09,1,0,0
2026-09-15 16:37:14,1,0,0
2026-09-15 16:37:19,1,0,0
2026-09-15 16:37:24,1,0,0
2026-09-15 16:37:29,1,0,0
2026-09-15 16:37:34,1,0,0
2026-09-15 16:37:39,1,0,0
2026-09-15 16:37:44,1,0,0
2026-09-15 16:37:49,1,0,0
2026-09-15 16:37:54,1,0,0
2026-09-15 16:37:59,1,0,0
2026-09-15 16:38:04,1,0,0
2026-09-15 16:38:09,1,0,0
2026-09-15 16:38:14,1,0,0
2026-09-15 16:38:19,1,0,0
2026-09-15 16:38:24,1,0,0
2026-09-15 16:38:29,1,0,0
2026-09-15 16:38:34,1,0,0
2026-09-15 16:38:39,1,0,0
2026-09-15 16:38:44,1,0,0
2026-09-15 16:38:49,1,0,0
2026-09-15 16:38:54,1,0,0
2026-09-15 16:38:59,1,0,0
2026-09-15 16:39:04,1,0,0
2026-09-15 16:39:09,1,0,0
2026-09-15 16:39:14,1,0,0
2026-09-15 16:39:19,1,0,0
2026-09-15 16:39:24,1,0,0
2026-09-15 16:39:29,1,0,0
2026-09-15 16:39:34,1,0,0
2026-09-15 16:39:39,1,0,0
2026-09-15 16:39:44,1,0,0
2026-09-15 16:39:49,1,0,0
2026-09-15 16:39:54,1,0,0
2026-09-15 16:39:59,1,0,0
2026-09-15 16:40:04,1,0,0
2026-09-15 16:40:09,1,0,0
2026-09-15 16:40:14,1,0,0
2026-09-15 16:40:19,1,0,0
2026-09-15 16:40:24,1,0,0
2026-09-15 16:40:29,1,0,0
2026-09-15 16:40:34,1,0,0
2026-09-15 16:40:39,1,0,0
2026-09-15 16:40:44,1,0,0
2026-09-15 16:40:49,1,0,0
2026-09-15 16:40:54,1,0,0
2026-09-15 16:40:59,1,0,0
2026-09-15 16:41:04,1,0,0
2026-09-15 16:41:09,1,0,0
2026-09-15 16:41:14,1,0,0
2026-09-15 16:41:19,1,0,0
2026-09-15 16:41:24,1,0,0
2026-09-15 16:41:29,1,0,0
2026-09-15 16:41:34,1,0,0
2026-09-15 16:41:39,1,0,0
2026-09-15 16:41:44,1,0,0
2026-09-15 16:41:49,1,0,0
2026-09-15 16:41:54,1,0,0
2026-09-15 16:41:59,1,0,0
2026-09-15 16:42:04,1,0,0
2026-09-15 16:42:09,1,0,0
2026-09-15 16:42:14,1,0,0
2026-09-15 16:42:19,1,0,0
2026-09-15 16:42:24,1,0,0
2026-09-15 16:42:29,1,0,0
2026-09-15 16:42:34,1,0,0
2026-09-15 16:42:39,1,0,0
2026-09-15 16:42:44,1,0,0
2026-09-15 16:42:49,1,0,0
2026-09-15 16:42:54,1,0,0
2026-09-15 16:42:59,1,0,0
2026-09-15 16:43:04,1,0,0
2026-09-15 16:43:09,1,0,0
2026-09-15 16:43:14,1,0,0
2026-09-15 16:43:19,1,0,0
2026-09-15 16:43:24,1,0,0
2026-09-15 16:43:29,1,0,0
2026-09-15 16:43:34,1,0,0
2026-09-15 16:43:39,1,0,0
2026-09-15 16:43:44,1,0,0
2026-09-15 16:43:50,1,0,0
2026-09-15 16:43:55,1,0,0
2026-09-15 16:44:00,1,0,0
2026-09-15 16:44:05,1,0,0
2026-09-15 16:44:10,1,0,0
2026-09-15 16:44:15,1,0,0
2026-09-15 16:44:20,1,0,0
2026-09-15 16:44:25,1,0,0
2026-09-15 16:44:30,1,0,0
2026-09-15 16:44:35,1,0,0
2026-09-15 16:44:40,1,0,0
2026-09-15 16:44:45,1,0,0
2026-09-15 16:44:50,1,0,0
2026-09-15 16:44:55,1,0,0
2026-09-15 16:45:00,1,0,0
2026-09-15 16:45:05,1,0,0
2026-09-15 16:45:10,1,0,0
2026-09-15 16:45:15,1,0,0
2026-09-15 16:45:20,1,0,0
2026-09-15 16:45:25,1,0,0
2026-09-15 16:45:30,1,0,0
